University,Course,CourseLink,Logo
NTU,Psychology,http://www.sss.ntu.edu.sg/Programmes/psychology/undergraduate/Pages/Home.aspx,NTU.png
NTU,Psychology with a Second Major in Biological Sciences,http://www.sss.ntu.edu.sg/Programmes/psychology/undergraduate/B.A.-%28Hons%29-in-Psychology-with-2nd-Major-in-Biological-Sciences/Pages/Home.aspx,NTU.png
NTU,Public Policy and Global Affairs,http://www.sss.ntu.edu.sg/Programmes/ppga/undergraduate/Pages/Bachelor-of-Arts-%28Hons%29-in-Public-Policy-and-Global-Affairs.aspx,NTU.png
NTU,Sociology,http://www.sss.ntu.edu.sg/Programmes/sociology/undergraduate/Pages/Home.aspx,NTU.png
NTU,Sport Science and Management#,https://www.nie.edu.sg/our-people/academic-groups/physical-education-and-sports-science/programmes/sport-science-management-ssm,NTU.png
NUS,Data Science and Economics,https://chs.nus.edu.sg/programmes/#prog-majors,NUS.jpg
NUS,Food Science and Technology,https://chs.nus.edu.sg/programmes/#prog-majors,NUS.jpg
NUS,Humanities and Sciences,https://chs.nus.edu.sg/programmes/#prog-majors,NUS.jpg
NUS,Pharmacautical Science,https://chs.nus.edu.sg/programmes/#prog-majors,NUS.jpg
NUS,"Phylosophy, Politics and Economics",https://chs.nus.edu.sg/programmes/#prog-majors,NUS.jpg
NUS,Business Administration (Accountancy),https://bba.nus.edu.sg,NUS.jpg
NUS,Business Administration ,https://bba.nus.edu.sg,NUS.jpg
NUS,Business Analytics,https://www.comp.nus.edu.sg/programmes/ug/ba/,NUS.jpg
NUS,Computer Science,https://www.comp.nus.edu.sg/programmes/ug/cs/,NUS.jpg
NUS,Information Security,https://www.comp.nus.edu.sg/programmes/ug/isc/,NUS.jpg
NUS,Information System,https://www.comp.nus.edu.sg/programmes/ug/is/,NUS.jpg
NUS,Computer Engineering,https://ceg.nus.edu.sg,NUS.jpg
NUS,Dentistry,http://www.dentistry.nus.edu.sg,NUS.jpg
NUS,Architecture,https://www.sde.nus.edu.sg/arch/programmes/bachelor-of-arts-in-architecture/,NUS.jpg
NUS,Industrial Design,https://did.platform.courses,NUS.jpg
NUS,Landscape Architecture,https://www.sde.nus.edu.sg/arch/programmes/bachelor-of-landscape-architecture/,NUS.jpg
NUS,Project and Facilities Management,https://www.sde.nus.edu.sg/bdg/undergraduate/bsc-project-facilities-management/introduction/,NUS.jpg
NUS,Real Estate,https://www.sde.nus.edu.sg/rst/,NUS.jpg
NUS,Biomedical Engineering,https://www.eng.nus.edu.sg/bme/,NUS.jpg
NUS,Chemical Engineering,https://www.eng.nus.edu.sg/chbe/,NUS.jpg
NUS,Civil Engineering,https://www.eng.nus.edu.sg/cee/,NUS.jpg
NUS,Engineering Science,https://www.eng.nus.edu.sg/esp/,NUS.jpg
NUS,Environmental Engineering ,https://www.eng.nus.edu.sg/cee/,NUS.jpg
NUS,Electrical Engineering,https://www.eng.nus.edu.sg/ece/,NUS.jpg
NUS,Industrial and Systems Engineering,https://www.eng.nus.edu.sg/isem/,NUS.jpg
NUS,Material Science and Engineering,https://www.eng.nus.edu.sg/mse/,NUS.jpg
NUS,Mechanical Engineering,https://www.eng.nus.edu.sg/me/,NUS.jpg
NUS,Computer Engineering,https://www.eng.nus.edu.sg/ece/,NUS.jpg
NUS,Law,https://law.nus.edu.sg,NUS.jpg
NUS,Medicine,https://medicine.nus.edu.sg/education/undergraduate/,NUS.jpg
NUS,Nursing,https://medicine.nus.edu.sg/nursing/,NUS.jpg
NUS,Pharmacy,https://pharmacy.nus.edu.sg/study/undergraduate/bachelor-of-pharmacy/,NUS.jpg
NUS,Music,https://www.ystmusic.nus.edu.sg,NUS.jpg
SIT,Accountancy,https://www.singaporetech.edu.sg/undergraduate-programmes/design-and-specialised-businesses/accountancy,SIT.jpg
